縣市名,"縣市長","縣市議員",鄉長,鄉民代表,村里長,合計
新竹縣,1,36,13,141,191,382
苗栗縣,1,38,18,193,274,524
彰化縣,1,54,26,317,589,987
南投縣,1,37,13,163,262,476
雲林縣,1,43,20,228,388,680
嘉義縣,1,37,18,193,357,606
屏東縣,1,55,33,334,464,887
宜蘭縣,1,34,12,131,233,411
花蓮縣,1,33,13,142,177,366
台東縣,1,30,16,136,147,330
澎湖縣,1,19,6,51,96,173
金門縣,1,19,6,45,37,108
連江縣,1,9,4,22,22,58
基隆市,1,31, -   , -   ,157,189
新竹市,1,33, -   , -   ,122,156
嘉義市,1,24, -   , -   ,84,109
台北市,1,63, -   , -   ,456,520
新北市,1,66,1,7,1032,1107
桃園市,1,60,1,11,495,568
台中市,1,63,1,11,625,701
台南市,1,57, -   , -   ,752,810
高雄市,1,66,3,21,891,982
